,QuickPrune,,,SS,,,GCOMB*,,,COMBHelper,,,LeNSE,,,GNNpruner,,
Graph,$P_r \uparrow$,$P_g$ $\uparrow$,$C \uparrow$,$P_r \uparrow$,$P_g$ $\uparrow$,$C\uparrow$,$P_r \uparrow$,$P_g$ $\uparrow$,$C\uparrow$,$P_r \uparrow$,$P_g$ $\uparrow$,$C\uparrow$,$P_r \uparrow$,$P_g$ $\uparrow$,$C\uparrow$,$P_r \uparrow$,$P_g$ $\uparrow$,$C\uparrow$
,Maximum Cover,,,,,,,,,,,,,,,,,
Facebook,1.0000,0.9953,0.9953,0.9884,0.9027,0.8922,0.9270,0.0700,0.0649,1.0000,0.3840,0.3840,0.9660,0.0700,0.0676,1.0000,0.7697,0.7697
Wiki,0.9998,0.9422,0.9420,0.9559,0.9346,0.8934,0.9900,0.0300,0.0297,1.0000,0.4528,0.4528,1.0940,0.3400,0.3720,1.0000,0.9199,0.9199
Deezer,0.9606,0.9797,0.9411,0.9870,0.9855,0.9727,0.9940,0.1300,0.1292,1.0000,0.7278,0.7278,0.9790,0.7500,0.7343,1.0000,0.9151,0.9151
Slashdot,1.0000,0.9925,0.9925,0.9824,0.9889,0.9715,1.0000,0.0200,0.0200,1.0000,0.9844,0.9844,0.9790,0.6900,0.6755,1.0000,0.9810,0.9810
Twitter,0.9929,0.9911,0.9841,0.9306,0.9893,0.9206,0.9970,0.1700,0.1695,1.0000,0.5654,0.5654,0.9890,0.3300,0.3264,0.9987,0.9793,0.9780
DBLP,0.9951,0.9957,0.9908,0.9945,0.9963,0.9908,0.9990,0.0300,0.0300,1.0000,0.1818,0.1818,0.9900,0.9000,0.8910,1.0000,0.8705,0.8705
YouTube,1.0000,0.9995,0.9995,0.9999,0.9987,0.9986,0.9980,0.0700,0.0699,1.0000,0.9572,0.9572,0.9820,0.7900,0.7758,0.9947,0.9967,0.9914
Skitter,0.9985,0.9997,0.9982,0.9857,0.9991,0.9848,0.9990,0.1000,0.0999,--,--,--,0.9760,0.7000,0.6832,0.9993,0.9891,0.9884
,Maximum Cut,,,,,,,,,,,,,,,,,
Facebook,0.9886,0.7935,0.7845,0.9928,0.9027,0.8962,0.8130,0.9500,0.7723,1.0000,0.1538,0.1538,1.0000,0.0700,0.0700,1.0000,0.6774,0.6774
Wiki,0.9985,0.9037,0.9023,0.9981,0.9346,0.9328,0.9200,0.9600,0.8832,1.0000,0.7011,0.7011,0.9810,0.3900,0.3826,1.0000,0.9004,0.9004
Deezer,0.9996,0.9730,0.9726,0.9999,0.9855,0.9854,0.8500,0.9900,0.8415,1.0000,0.3754,0.3754,0.9750,0.7400,0.7215,1.0000,0.9188,0.9188
Slashdot,1.0000,0.9904,0.9904,1.0000,0.9889,0.9889,0.6320,0.9900,0.6257,0.7935,0.9929,0.7879,0.9900,0.6200,0.6138,1.0000,0.9797,0.9797
Twitter,1.0000,0.9900,0.9900,1.0000,0.9893,0.9893,0.6280,0.9900,0.6217,1.0000,0.5542,0.5542,0.9870,0.4800,0.4738,1.0000,0.9740,0.9740
DBLP,1.0000,0.9954,0.9954,1.0000,0.9963,0.9963,0.6460,0.9900,0.6395,1.0000,0.1825,0.1825,0.9930,0.9200,0.9136,1.0000,0.8623,0.8623
YouTube,1.0000,0.9994,0.9994,1.0000,0.9987,0.9987,0.5360,0.9900,0.5306,0.9990,0.9705,0.9695,0.9870,0.7900,0.7797,0.9936,0.9968,0.9904
Skitter,1.0000,0.9995,0.9995,1.0000,0.9991,0.9991,0.4270,0.9900,0.4227,--,--,--,0.9740,0.7100,0.6915,1.0000,0.9884,0.9884
,Influence Maximization,,,,,,,,,,,,,,,,,
Facebook,0.9919,0.7450,0.7390,0.9208,0.9027,0.8312,0.9510,0.7300,0.6942,1.0039,0.3248,0.3261,0.9790,0.0900,0.0881,0.9938,0.4917,0.4887
Wiki,1.0269,0.8831,0.9069,0.9863,0.9346,0.9218,0.9690,0.9000,0.8721,0.9969,0.6066,0.6047,0.9600,0.5100,0.4896,1.0011,0.8964,0.8974
Deezer,0.9384,0.9698,0.9101,1.0262,0.9855,1.0113,0.8050,0.5500,0.4428,0.9837,0.1093,0.1075,0.9720,0.7600,0.7387,0.9984,0.8478,0.8464
Slashdot,0.9984,0.9881,0.9865,0.9959,0.9889,0.9848,0.9660,0.9800,0.9467,1.0076,0.9875,0.9950,0.9660,0.7700,0.7438,0.9993,0.9797,0.9790
Twitter,1.0045,0.9965,1.0010,0.9575,0.9893,0.9473,0.9200,0.9800,0.9016,0.9972,0.4947,0.4933,0.9660,0.4000,0.3864,0.9842,0.9758,0.9604
DBLP,0.8603,0.9946,0.8557,1.0495,0.9963,1.0456,0.8630,0.9900,0.8544,0.9873,0.0194,0.0192,0.9690,0.8900,0.8624,0.7558,0.3325,0.2513
YouTube,0.9677,0.9994,0.9671,0.9846,0.9987,0.9833,0.9330,0.9900,0.9237,0.9992,0.9705,0.9697,0.9710,0.7500,0.7282,1.0018,0.9966,0.9984
Skitter,0.9813,0.9999,0.9812,1.0032,0.9991,1.0023,0.8830,0.9900,0.8742,--,--,--,0.9830,0.7800,0.7667,1.0023,0.9889,0.9912
